ID,分類,產品名稱,宣稱功效,打臉原因,違反原理,常見價格區間(台幣),關鍵字Tags,參考資料連結,備註,加入日期
1,生物學,膠原蛋白口服液,喝出Q彈肌膚,蛋白質進腸道就被分解成胺基酸,蛋白質消化分解,500-3000,膠原蛋白;美容;蛋白質,,吃一顆蛋效果一樣,2026-06-09
2,生物學,酵素/酶保健品,排毒瘦身助消化,酵素本質是蛋白質,胃酸變性蛋白質,800-5000,酵素;排毒;瘦身;酶,,跟喝豆漿差不多,2026-06-09
3,生物學,羊胎素/胎盤素,回春抗老,蛋白質消化後變胺基酸,蛋白質消化分解,2000-20000,胎盤素;回春;羊胎素,,注射異體蛋白有過敏風險,2026-06-09
4,生物學,DNA/核酸保健品,修復基因抗衰老,DNA消化後分解成核苷酸,核苷酸自行合成,1000-5000,DNA;核酸;基因修復,,人體自己就會合成核苷酸,2026-06-09
5,生物學,幹細胞護膚品,再生肌膚逆齡,幹細胞在乳霜中已死亡,細胞存活與穿透,2000-15000,幹細胞;護膚;再生,,角質層根本穿不過,2026-06-09
6,生物學,EGF表皮生長因子外用產品,擦的醫美修復,蛋白質分子太大皮膚不吸收,分子量>500Da穿透限制,1000-8000,EGF;生長因子;醫美,,健康角質層穿透上限約500道爾頓,2026-06-09
7,物理學,量子保健品/量子手環,量子共振調理身體,量子效應只在極低溫或極小尺度發生,量子力學,1000-10000,量子;共振;手環,,跟你手上的矽膠圈跟薛丁格的貓沒關係,2026-06-09
8,物理學,磁療項圈/磁療床墊,促進血液循環止痛,血液沒有鐵磁性,血液鐵化學,500-50000,磁療;血液循環;磁場,,血紅素中的鐵不是鐵屑,2026-06-09
9,物理學,能量石/鈦鍺手環,平衡能量場消除疲勞,能量場無法定義無從測量,能量定義,500-5000,能量石;鈦鍺;能量場,,什麼能量?單位拿出來,2026-06-09
10,物理學,手機防輻射貼紙,吸收電磁波防護,手機輻射是非游離輻射,電磁輻射,50-500,防輻射;手機;貼紙,,能量連DNA鍵結都打不斷,2026-06-09
11,物理學,遠紅外線內衣/護具,深層加熱治關節炎,遠紅外線就是熱輻射,熱輻射,500-3000,遠紅外線;保暖;內衣,,跟你坐在暖爐前面一樣,2026-06-09
12,物理學,負離子吹風機/空氣清淨機,負離子提神改善心情,負離子半衰期極短濃度不足,離子壽命,1000-15000,負離子;吹風機;空氣清淨,,吹出來的瞬間就沒了,2026-06-09
13,物理學,奈米保健品,奈米級吸收更好,奈米粒子可能反而有毒性,奈米毒性,1000-5000,奈米;保健品;吸收,,大小不等於效果,2026-06-09
14,物理學,小分子團水,水分子更小更好吸收,水分子H2O大小固定,氫鍵動態,50-200,小分子水;水分子團;吸收,,氫鍵是動態的沒有穩定小分子團,2026-06-09
15,化學,鹼性水/電解還原水,調節酸性體質,人體血液pH精密調控,酸鹼平衡,30-150,鹼性水;酸性體質;電解水,,喝下去先被胃酸中和,2026-06-09
16,化學,排毒足貼,貼腳底吸出毒素,變黑是竹醋粉遇汗水變色,化學變色反應,100-500,排毒;足貼;竹醋,,貼熱水壺上也一樣會黑,2026-06-09
17,化學,氫水/富氫水,抗氧化清除自由基,氫氣是地表最輕氣體開瓶就跑光,氫氣逸散,50-200,氫水;富氫水;抗氧化,,打開瓶蓋三秒就跟你說再見,2026-06-09
18,化學,竹炭食品/活性碳飲料,吸附毒素排毒,無差別吸附連營養素藥物一起吸走,活性碳吸附,100-1000,竹炭;活性碳;排毒;食品,,長期吃當心營養不良,2026-06-09
19,化學,負離子衛生棉,抑菌除異味,負離子晶片只是印刷圖案,負離子生成,100-500,負離子;衛生棉;抑菌,,就是一張紙上面畫了圖案,2026-06-09
20,化學,中藥美白面膜(汞超標),草本美白不含汞七天見效,實測常含汞化合物或類固醇,重金屬美白,200-2000,美白;面膜;汞;重金屬,,抑制黑色素但腎衰竭等你,2026-06-09
21,化學,無防腐劑保質三年護膚品,溫和不刺激,不加防腐劑不可能三年不長菌,防腐與微生物,500-3000,防腐劑;護膚;保存期限,,要嘛有加沒寫要嘛加更毒,2026-06-09
22,跨領域,酵素浴/米糠酵素溫浴,發酵熱排毒養生,就是堆肥的熱,生物+物理,1000-3000,酵素浴;米糠;發酵;排毒,,農夫堆肥冬天也冒煙,2026-06-09
23,跨領域,光療能量艙/LED照光治百病,LED照光治百病,波長功率不明無療效證據,物理+生物,5000-100000,光療;能量艙;LED;照光,,他講得出波長跟功率你再考慮相信,2026-06-09
24,跨領域,信息水/記憶水/順勢療法,水能記憶分子訊息,水沒有記憶功能,物理+化學+生物,500-3000,信息水;記憶水;順勢療法,,相當於說硬碟格式化後資料還在,2026-06-09
